N,Categoria,Prompt
52,Reels,"Actúa como experto en marketing dental LATAM y ayúdame a crear un guion de Reel de 20 segundos para [tratamiento]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
53,Reels,"Actúa como experto en marketing dental LATAM y ayúdame a crear un guion de Reel de 20 segundos para [tratamiento]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
54,Reels,"Actúa como experto en marketing dental LATAM y ayúdame a crear un guion de Reel de 20 segundos para [tratamiento]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
55,Reels,"Actúa como experto en marketing dental LATAM y ayúdame a crear un guion de Reel de 20 segundos para [tratamiento]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
56,Reels,"Actúa como experto en marketing dental LATAM y ayúdame a crear un guion de Reel de 20 segundos para [tratamiento]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
57,Reels,"Actúa como experto en marketing dental LATAM y ayúdame a crear un guion de Reel de 20 segundos para [tratamiento]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
58,Reels,"Actúa como experto en marketing dental LATAM y ayúdame a crear un guion de Reel de 20 segundos para [tratamiento]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
59,Reels,"Actúa como experto en marketing dental LATAM y ayúdame a crear un guion de Reel de 20 segundos para [tratamiento]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
60,Reels,"Actúa como experto en marketing dental LATAM y ayúdame a crear un guion de Reel de 20 segundos para [tratamiento]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
61,CRM,"Actúa como experto en marketing dental LATAM y ayúdame a clasificar pacientes por estado comercial y próxima acción. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
62,CRM,"Actúa como experto en marketing dental LATAM y ayúdame a clasificar pacientes por estado comercial y próxima acción. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
63,CRM,"Actúa como experto en marketing dental LATAM y ayúdame a clasificar pacientes por estado comercial y próxima acción. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
64,CRM,"Actúa como experto en marketing dental LATAM y ayúdame a clasificar pacientes por estado comercial y próxima acción. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
65,CRM,"Actúa como experto en marketing dental LATAM y ayúdame a clasificar pacientes por estado comercial y próxima acción. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
66,CRM,"Actúa como experto en marketing dental LATAM y ayúdame a clasificar pacientes por estado comercial y próxima acción. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
67,CRM,"Actúa como experto en marketing dental LATAM y ayúdame a clasificar pacientes por estado comercial y próxima acción. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
68,CRM,"Actúa como experto en marketing dental LATAM y ayúdame a clasificar pacientes por estado comercial y próxima acción. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
69,CRM,"Actúa como experto en marketing dental LATAM y ayúdame a clasificar pacientes por estado comercial y próxima acción. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
70,CRM,"Actúa como experto en marketing dental LATAM y ayúdame a clasificar pacientes por estado comercial y próxima acción. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
71,Reactivación,"Actúa como experto en marketing dental LATAM y ayúdame a reactivar pacientes que no visitan la clínica hace más de 6 meses. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
72,Reactivación,"Actúa como experto en marketing dental LATAM y ayúdame a reactivar pacientes que no visitan la clínica hace más de 6 meses. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
73,Reactivación,"Actúa como experto en marketing dental LATAM y ayúdame a reactivar pacientes que no visitan la clínica hace más de 6 meses. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
74,Reactivación,"Actúa como experto en marketing dental LATAM y ayúdame a reactivar pacientes que no visitan la clínica hace más de 6 meses. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
75,Reactivación,"Actúa como experto en marketing dental LATAM y ayúdame a reactivar pacientes que no visitan la clínica hace más de 6 meses. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
76,Reactivación,"Actúa como experto en marketing dental LATAM y ayúdame a reactivar pacientes que no visitan la clínica hace más de 6 meses. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
77,Reactivación,"Actúa como experto en marketing dental LATAM y ayúdame a reactivar pacientes que no visitan la clínica hace más de 6 meses. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
78,Reactivación,"Actúa como experto en marketing dental LATAM y ayúdame a reactivar pacientes que no visitan la clínica hace más de 6 meses. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
79,Reactivación,"Actúa como experto en marketing dental LATAM y ayúdame a reactivar pacientes que no visitan la clínica hace más de 6 meses. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
80,Reactivación,"Actúa como experto en marketing dental LATAM y ayúdame a reactivar pacientes que no visitan la clínica hace más de 6 meses. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
81,Campañas,"Actúa como experto en marketing dental LATAM y ayúdame a diseñar una campaña mensual sin prometer resultados clínicos. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
82,Campañas,"Actúa como experto en marketing dental LATAM y ayúdame a diseñar una campaña mensual sin prometer resultados clínicos. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
83,Campañas,"Actúa como experto en marketing dental LATAM y ayúdame a diseñar una campaña mensual sin prometer resultados clínicos. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
84,Campañas,"Actúa como experto en marketing dental LATAM y ayúdame a diseñar una campaña mensual sin prometer resultados clínicos. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
85,Campañas,"Actúa como experto en marketing dental LATAM y ayúdame a diseñar una campaña mensual sin prometer resultados clínicos. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
86,Campañas,"Actúa como experto en marketing dental LATAM y ayúdame a diseñar una campaña mensual sin prometer resultados clínicos. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
87,Campañas,"Actúa como experto en marketing dental LATAM y ayúdame a diseñar una campaña mensual sin prometer resultados clínicos. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
88,Campañas,"Actúa como experto en marketing dental LATAM y ayúdame a diseñar una campaña mensual sin prometer resultados clínicos. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
89,Campañas,"Actúa como experto en marketing dental LATAM y ayúdame a diseñar una campaña mensual sin prometer resultados clínicos. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
90,Campañas,"Actúa como experto en marketing dental LATAM y ayúdame a diseñar una campaña mensual sin prometer resultados clínicos. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
91,Objeciones,"Actúa como experto en marketing dental LATAM y ayúdame a responder a pacientes que dicen caro, luego veo o estoy comparando. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
92,Objeciones,"Actúa como experto en marketing dental LATAM y ayúdame a responder a pacientes que dicen caro, luego veo o estoy comparando. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
93,Objeciones,"Actúa como experto en marketing dental LATAM y ayúdame a responder a pacientes que dicen caro, luego veo o estoy comparando. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
94,Objeciones,"Actúa como experto en marketing dental LATAM y ayúdame a responder a pacientes que dicen caro, luego veo o estoy comparando. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
95,Objeciones,"Actúa como experto en marketing dental LATAM y ayúdame a responder a pacientes que dicen caro, luego veo o estoy comparando. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
